diyogon 32879 Sun Aug 28 17:19:58 2016

Avatar 0:(0,0) Moving east.
0:(8,1) 1:(27,2) 2:(2,22) 3:(27,23) Avatar 1:(27,2) Moving west.
0:(8,1) 1:(26,2) 2:(2,22) 3:(27,23) Avatar 2:(2,22) Moving north.
0:(8,1) 1:(26,2) 2:(2,21) 3:(27,23) Avatar 3:(27,23) Moving north.
0:(8,1) 1:(26,2) 2:(2,21) 3:(27,22) Avatar 0:(8,1) Moving north.
0:(8,0) 1:(26,2) 2:(2,21) 3:(27,22) Avatar 1:(26,2) Moving north.
0:(8,0) 1:(26,2) 2:(2,21) 3:(27,22) Avatar 2:(2,21) Moving north.
0:(8,0) 1:(26,2) 2:(2,21) 3:(27,22) Avatar 3:(27,22) Moving north.
0:(8,0) 1:(26,2) 2:(2,21) 3:(27,21) Avatar 0:(8,0) Moving east.
0:(9,0) 1:(26,2) 2:(2,21) 3:(27,21) Avatar 1:(26,2) Moving south.
0:(9,0) 1:(26,3) 2:(2,21) 3:(27,21) Avatar 2:(2,21) Moving east.
0:(9,0) 1:(26,3) 2:(3,21) 3:(27,21) Avatar 3:(27,21) Moving north.
0:(9,0) 1:(26,3) 2:(3,21) 3:(27,21) Avatar 0:(9,0) Moving east.
0:(9,0) 1:(26,3) 2:(3,21) 3:(27,21) Avatar 1:(26,3) Moving east.
0:(9,0) 1:(27,3) 2:(3,21) 3:(27,21) Avatar 2:(3,21) Moving north.
0:(9,0) 1:(27,3) 2:(3,21) 3:(27,21) Avatar 3:(27,21) Moving east.
0:(9,0) 1:(27,3) 2:(3,21) 3:(27,21) Avatar 0:(9,0) Moving south.
0:(9,1) 1:(27,3) 2:(3,21) 3:(27,21) Avatar 1:(27,3) Moving east.
0:(9,1) 1:(28,3) 2:(3,21) 3:(27,21) Avatar 2:(3,21) Moving east.
0:(9,1) 1:(28,3) 2:(3,21) 3:(27,21) Avatar 3:(27,21) Moving west.
0:(9,1) 1:(28,3) 2:(3,21) 3:(26,21) Avatar 0:(9,1) Moving east.
0:(10,1) 1:(28,3) 2:(3,21) 3:(26,21) Avatar 1:(28,3) Moving east.
